time,load@tsung_controller@90c4072c0a63 
0,0.37109375 
10,0.390625 
20,0.328125 
30,0.28125 
40,0.23828125 
50,0.359375 
60,0.30078125 
70,0.26171875 
80,0.2890625 
90,0.328125 
100,0.28125 
110,0.23046875 
120,0.19921875 
130,0.171875 
137,0.140625 
