time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,19488.929,3646.177, 
30,19488.929,3646.177, 
40,19488.929,3646.177,41644.458 
50,28953.875,3646.177,49479.248 
60,28953.875,3646.177,54995.335 
70,28953.875,4485.241,54995.335 
80,28953.875,4485.241,54995.335 
90,36473.605,4485.241,54995.335 
100,38241.523,4485.241,89559.16 
110,38241.523,4485.241,89559.16 
120,38241.523,4485.241,89559.16 
130,38241.523,4485.241,89559.16 
137,55120.527,4485.241,89559.16 
