time,request,connect 
0,145.621,445.895 
10,140.873,440.407 
20,139.906,436.059 
30,138.976,428.462 
40,138.976,428.462 
50,138.976,428.462 
60,133.95,409.808 
70,133.95,409.808 
80,133.95,409.808 
90,133.758,409.808 
100,133.758,409.808 
110,133.758,409.808 
120,133.758,409.808 
130,133.758,409.808 
137,133.758,409.808 
