time,request,connect 
0,1894.122,1106.195 
10,3646.177,1106.195 
20,3646.177,1106.195 
30,3646.177,1106.195 
40,3646.177,1106.195 
50,3646.177,1106.195 
60,3646.177,1106.195 
70,4485.241,1106.195 
80,4485.241,1106.195 
90,4485.241,1106.195 
100,4485.241,1106.195 
110,4485.241,1106.195 
120,4485.241,1106.195 
130,4485.241,1106.195 
137,4485.241,1106.195 
