time,session 
20,19490.582 
30,19490.582 
40,41656.346 
50,49480.986 
60,54997.008 
70,54997.008 
80,54997.008 
90,54997.008 
100,89561.103 
110,89561.103 
120,89561.103 
130,89561.103 
137,89561.103 
