time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,0.3,2.4, 
30,0.1,3.6, 
40,0.3,4.8,0.1 
50,0.6,3.9,0.3 
60,0.4,5.8,0.2 
70,0.5,12.5,0.1 
80,1.2,13.3,0.2 
90,2,10.7,0.3 
100,0.6,4.6,0.7 
110,0.1,2.2,0.4 
120,0,0.3,0.2 
130,0,0.3,0.1 
137,0.1,0.4,0.2 
