time,load@tsung_controller@90c4072c0a63 
0,0.37109375 
10,0.37109375 
20,0.328125 
30,0.28125 
40,0.23828125 
50,0.23828125 
60,0.23828125 
70,0.23828125 
80,0.23828125 
90,0.23828125 
100,0.23828125 
110,0.23046875 
120,0.19921875 
130,0.171875 
137,0.140625 
