time,users,connected 
0,7,6 
10,8,2 
20,10,1 
30,17,8 
40,21,0 
50,21,-4 
60,27,14 
70,45,15 
80,51,5 
90,51,-23 
100,51,-13 
110,51,-5 
120,51,-2 
130,51,-1 
137,51,-3 
