time,freemem@tsung_controller@90c4072c0a63 
0,6819.73046875 
10,6819.73046875 
20,6819.73046875 
30,6819.73046875 
40,6819.73046875 
50,6819.73046875 
60,6819.73046875 
70,6819.73046875 
80,6819.73046875 
90,6819.73046875 
100,6819.73046875 
110,6819.73046875 
120,6819.73046875 
130,6819.73046875 
137,6819.73046875 
