time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,15422.612,139.906, 
30,10176.509,138.976, 
40,9419.742,138.976,41644.458 
50,9419.742,138.976,30248.041 
60,9419.742,133.95,29806.966 
70,9419.742,133.95,23252.218 
80,9291.189,133.95,23252.218 
90,8535.902,133.758,23252.218 
100,8535.902,133.758,22983.65 
110,8535.902,133.758,22983.65 
120,8535.902,133.758,22983.65 
130,8535.902,133.758,22983.65 
137,8535.902,133.758,22983.65 
