time,users,connected 
0,7,6 
10,8,8 
20,9,9 
30,17,17 
40,17,17 
50,13,13 
60,27,27 
70,44,42 
80,47,47 
90,24,24 
100,11,11 
110,6,6 
120,4,4 
130,3,3 
137,0,0 
