time,request,connect 
0,1.4,0.6 
10,1.8,0.2 
20,2.4,0.4 
30,3.6,0.9 
40,4.8,0.4 
50,3.9,0.5 
60,5.8,2 
70,12.5,2.1 
80,13.3,1.9 
90,10.7,0 
100,4.6,0 
110,2.2,0 
120,0.3,0 
130,0.3,0 
137,0.4,0 
