time,finish_users_count,users_count 
0,0,0.7 
10,0,0.1 
20,0.3,0.4 
30,0.1,0.9 
40,0.5,0.5 
50,0.8,0.4 
60,0.6,2 
70,0.6,2.3 
80,1.4,1.7 
90,2.3,0 
100,1.3,0 
110,0.5,0 
120,0.2,0 
130,0.1,0 
137,0.3,0 
