time,load@tsung_controller@90c4072c0a63 
0,0.37109375 
10,0.390625 
20,0.390625 
30,0.390625 
40,0.390625 
50,0.390625 
60,0.390625 
70,0.390625 
80,0.390625 
90,0.390625 
100,0.390625 
110,0.390625 
120,0.390625 
130,0.390625 
137,0.390625 
