time,session 
20,17248.988333333335 
30,10179.36 
40,21526.5264 
50,27446.093 
60,27217.755 
70,18715.428833333335 
80,19510.299714285713 
90,20901.704695652174 
100,35565.342000000004 
110,39649.590000000004 
120,50254.6455 
130,54641.553 
137,62830.767 
