time,session 
20,15424.021 
30,10179.36 
40,9421.443 
50,9421.443 
60,9421.443 
70,9421.443 
80,9293.163 
90,8537.964 
100,8537.964 
110,8537.964 
120,8537.964 
130,8537.964 
137,8537.964 
