time,502,200 
0,1,13 
10,1,31 
20,1,55 
30,2,90 
40,2,138 
50,2,177 
60,2,235 
70,2,360 
80,5,490 
90,6,596 
100,6,642 
110,7,663 
120,7,666 
130,7,669 
137,7,673 
