time,finish_users_count,users_count 
0,0,7 
10,0,8 
20,3,12 
30,4,21 
40,9,26 
50,17,30 
60,23,50 
70,29,73 
80,43,90 
90,66,90 
100,79,90 
110,84,90 
120,86,90 
130,87,90 
137,90,90 
