time,size_sent,size_rcv 
0,1.10546875,5.715625 
10,1.78359375,8.5765625 
20,2.13203125,11.05390625 
30,2.8203125,14.8640625 
40,4.41328125,21.67109375 
50,3.4296875,17.58984375 
60,4.36328125,23.2765625 
70,10.565625,53.19296875 
80,11.51484375,56.74765625 
90,9.3125,49.16328125 
100,4.85,23.68359375 
110,2.47421875,11.79609375 
120,0.32421875,1.5375 
130,0.271875,1.41484375 
137,0.3796875,1.92421875 
