time,session 
20,13011.248 
30,13011.248 
40,9662.641 
50,8656.893 
60,8656.893 
70,8656.893 
80,8656.893 
90,8656.893 
100,8656.893 
110,8656.893 
120,8656.893 
130,8656.893 
140,8656.893 
142,8656.893 
