time,load@tsung_controller@90c4072c0a63 
0,0.28125 
10,0.28125 
20,0.28125 
30,0.28125 
40,0.28125 
50,0.28125 
60,0.28125 
70,0.28125 
80,0.28125 
90,0.28125 
100,0.28125 
110,0.28125 
120,0.28125 
130,0.28125 
140,0.28125 
142,0.28125 
