time,tr_fluxo_compra,page,tr_fluxo_navegacao 
30,27263.236,2222.139,29303.621 
40,27263.236,2222.139,29303.621 
50,41115.113,2747.794,29303.621 
60,41115.113,2747.794,32026.645 
70,41115.113,2747.794,49164.958 
80,41115.113,2747.794,49164.958 
90,41115.113,5265.414,49164.958 
100,41115.113,5265.414,49164.958 
110,41115.113,5265.414,49164.958 
120,58936.174,5265.414,49164.958 
130,58936.174,5265.414,49164.958 
140,69520.148,5265.414,49164.958 
142,69520.148,5265.414,49164.958 
