time,session 
20,17917.791 
30,29308.112 
40,29308.112 
50,41117.038 
60,49166.953 
70,49166.953 
80,49166.953 
90,49166.953 
100,49166.953 
110,49166.953 
120,58937.67 
130,58937.67 
140,69522.02 
142,69522.02 
