time,freemem@tsung_controller@90c4072c0a63 
0,6816.2578125 
10,6816.2578125 
20,6816.2578125 
30,6816.2578125 
40,6816.2578125 
50,6816.2578125 
60,6816.2578125 
70,6816.2578125 
80,6816.2578125 
90,6816.2578125 
100,6816.2578125 
110,6816.2578125 
120,6816.2578125 
130,6816.2578125 
140,6816.2578125 
142,6816.2578125 
