time,tr_fluxo_compra,page,tr_fluxo_navegacao 
30,27263.236,138.799,13009.36 
40,27263.236,134.553,9660.714 
50,27263.236,134.553,8654.425 
60,27263.236,134.553,8654.425 
70,27263.236,132.769,8654.425 
80,27263.236,132.769,8654.425 
90,27263.236,132.769,8654.425 
100,26403.328,132.769,8654.425 
110,26403.328,132.769,8654.425 
120,26403.328,132.769,8654.425 
130,26403.328,132.769,8654.425 
140,26403.328,132.769,8654.425 
142,26403.328,132.769,8654.425 
