time,200,502 
0,3, 
10,17, 
20,35, 
30,86, 
40,119, 
50,158, 
60,180, 
70,236,1 
80,350,2 
90,482,2 
100,574,3 
110,624,3 
120,648,3 
130,664,3 
140,667,3 
142,667,3 
