time,connected,users 
0,2,4 
10,5,7 
20,0,10 
30,8,16 
40,-3,16 
50,-1,16 
60,-2,16 
70,16,27 
80,14,43 
90,8,51 
100,-20,51 
110,-12,51 
120,-8,51 
130,-4,51 
140,-3,51 
142,0,51 
