time,users_count,finish_users_count 
0,4,0 
10,7,0 
20,11,2 
30,21,5 
40,23,11 
50,29,19 
60,33,23 
70,55,28 
80,74,34 
90,90,43 
100,90,64 
110,90,75 
120,90,83 
130,90,87 
140,90,90 
142,90,90 
