time,connect,request 
0,289.1725,643.1713529919966 
10,7.855718961368211,673.425045743968 
20,59.190499999999986,348.49861698245246 
30,15.847720497241177,352.47431480197406 
40,30.967756891465196,432.16796613553663 
50,21.41974020228382,714.3599732878764 
60,33.77699999999999,607.6914506964023 
70,14.345891387302537,508.517047274237 
80,18.27432645892866,491.27574586551606 
90,705.3696869181804,641.3188381867627 
100,0,581.5989848314722 
110,0,411.23366729569017 
120,0,567.2482550736698 
130,0,884.9941207397382 
140,0,23.19764708375017 
142,0,0 
