time,tr_fluxo_compra,page,tr_fluxo_navegacao 
30,0.1,5.1,0.2 
40,0,3.3,0.6 
50,0.1,3.9,0.6 
60,0.1,2.2,0.3 
70,0,5.7,0.6 
80,0,11.5,0.6 
90,0,13.2,0.9 
100,0.5,9.3,1.5 
110,0.3,5,0.9 
120,0.8,2.4,0 
130,0.4,1.6,0 
140,0.3,0.3,0 
142,0,0,0 
