time,size_rcv,size_sent 
0,0.9015625,0.14375 
10,5.728125,1.13046875 
20,7.17265625,1.47265625 
30,20.25390625,3.8171875 
40,13.40078125,2.23984375 
50,15.5421875,2.7625 
60,8.65546875,1.56328125 
70,21.9078125,3.77578125 
80,49.77421875,10.2 
90,58.30234375,11.83671875 
100,44.9359375,8.7671875 
110,25.375,4.99375 
120,13.415625,3.11328125 
130,8.51171875,1.67734375 
140,1.64765625,0.3703125 
142,0,0 
