time,freemem@tsung_controller@90c4072c0a63 
0,6816.2578125 
10,6804.359375 
20,6801.04296875 
30,6798.2890625 
40,6798.37109375 
50,6793.671875 
60,6792.7109375 
70,6791.8125 
80,6790.75 
90,6787.515625 
100,6779.609375 
110,6771.9375 
120,6772.67578125 
130,6772.4296875 
140,6774.02734375 
142,6772.80859375 
