time,connect,request 
0,0.2,0.3 
10,0.5,1.4 
20,0.2,1.8 
30,1.1,5.1 
40,0.3,3.3 
50,0.6,3.9 
60,0.2,2.2 
70,2.2,5.7 
80,2,11.5 
90,1.7,13.2 
100,0,9.3 
110,0,5 
120,0,2.4 
130,0,1.6 
140,0,0.3 
142,0,0 
