time,session 
10,7326.961 
20,23284.971 
30,33853.437 
40,40921.816 
50,40921.816 
60,40921.816 
70,48919.394 
80,48919.394 
90,48919.394 
100,48919.394 
110,71039.072 
120,71039.072 
130,71039.072 
131,71039.072 
