time,load@tsung_controller@3e43ea4093fb 
0,0.23046875 
10,0.33984375 
20,0.33984375 
30,0.33984375 
40,0.33984375 
50,0.33984375 
60,0.33984375 
70,0.33984375 
80,0.33984375 
90,0.33984375 
100,0.33984375 
110,0.33984375 
120,0.33984375 
130,0.33984375 
131,0.33984375 
