time,502,200 
30,0.1,3.3 
40,0,4.2 
50,0,4.6 
60,0.1,2.9 
70,0.1,6.9 
80,0.1,11.5 
90,0,8.8 
100,0,5.3 
110,0,1.9 
120,0,1.2 
130,0,0.8 
131,0,0 
