time,finish_users_count,users_count 
0,0,0.5 
10,0.1,0.2 
20,0.2,0.6 
30,0.1,0.5 
40,0.7,0.6 
50,0.6,0.5 
60,0.3,0.6 
70,0.7,1.6 
80,0.6,2.3 
90,1.4,0.2 
100,1.4,0 
110,0.8,0 
120,0.4,0 
130,0.3,0 
131,0,0 
