time,freemem@tsung_controller@3e43ea4093fb 
0,6813.71875 
10,6804.96875 
20,6802.55078125 
30,6798.3984375 
40,6798.3984375 
50,6798.3984375 
60,6798.3984375 
70,6798.3984375 
80,6794.625 
90,6787.25390625 
100,6786.26953125 
110,6786.26953125 
120,6786.26953125 
130,6786.26953125 
131,6786.26953125 
