time,page,tr_fluxo_compra,tr_fluxo_navegacao 
0,156.593,, 
10,133.586,,7325.257 
20,133.586,,7325.257 
30,133.586,33850.835,7325.257 
40,133.586,33850.835,7325.257 
50,133.526,33850.835,7325.257 
60,133.526,33850.835,7325.257 
70,132.945,33850.835,7325.257 
80,132.945,33850.835,7325.257 
90,132.945,29341.843,7325.257 
100,132.945,27525.866,7325.257 
110,132.945,26208.783,7325.257 
120,132.945,26208.783,7325.257 
130,132.945,26208.783,7325.257 
131,132.945,26208.783,7325.257 
