time,connect,request 
0,424.87542844349093,514.78258086871 
10,22.842500000000015,485.1397072353772 
20,14.425839914888813,571.4265986056237 
30,14.628705323438572,500.2707259393792 
40,17.25371849454166,494.85998325752945 
50,10.938726282684826,313.9740625342376 
60,6.994180106345555,575.4029207327873 
70,26.39562877133969,471.37567914609366 
80,17.680410767354932,719.2650989260518 
90,51.31900000000002,486.00536638432334 
100,0,469.4698712536596 
110,0,942.548653338451 
120,0,416.823756365092 
130,0,427.6334194076159 
131,0,0 
