time,connect,request 
0,0.5,1 
10,0.2,2 
20,0.6,2.3 
30,0.5,3.4 
40,0.6,4.2 
50,0.4,4.6 
60,0.5,3 
70,1.6,7 
80,2.5,11.6 
90,0.2,8.8 
100,0,5.3 
110,0,1.9 
120,0,1.2 
130,0,0.8 
131,0,0 
