time,users,connected 
0,5,5 
10,6,6 
20,10,10 
30,14,14 
40,13,13 
50,12,11 
60,15,14 
70,24,22 
80,41,41 
90,29,29 
100,15,15 
110,7,7 
120,3,3 
130,0,0 
131,0,0 
