time,page,tr_fluxo_compra,tr_fluxo_navegacao 
0,1,, 
10,2,,0.1 
20,2.3,,0.2 
30,3.4,0.1,0 
40,4.2,0.1,0.6 
50,4.6,0.1,0.5 
60,3,0.1,0.1 
70,7,0.3,0.5 
80,11.6,0.1,0.5 
90,8.8,0.1,1.3 
100,5.3,0.3,1.1 
110,1.9,0.6,0.2 
120,1.2,0.3,0.1 
130,0.8,0.2,0.1 
131,0,0,0 
