time,finish_users_count,users_count 
0,0,5 
10,1,7 
20,3,13 
30,4,18 
40,11,24 
50,17,29 
60,20,35 
70,27,51 
80,33,74 
90,47,76 
100,61,76 
110,69,76 
120,73,76 
130,76,76 
131,76,76 
