time,freemem@tsung_controller@3e43ea4093fb 
0,6813.71875 
10,6813.71875 
20,6813.71875 
30,6813.71875 
40,6813.71875 
50,6813.71875 
60,6813.71875 
70,6813.71875 
80,6813.71875 
90,6813.71875 
100,6813.71875 
110,6813.71875 
120,6813.71875 
130,6813.71875 
131,6813.71875 
