time,connect,request 
0,454.883,156.593 
10,424.856,133.586 
20,424.856,133.586 
30,424.856,133.586 
40,424.856,133.586 
50,424.856,133.526 
60,424.856,133.526 
70,417.563,132.945 
80,417.563,132.945 
90,417.563,132.945 
100,417.563,132.945 
110,417.563,132.945 
120,417.563,132.945 
130,417.563,132.945 
131,417.563,132.945 
