time,size_rcv,size_sent 
0,4.02890625,0.7125 
10,8.49453125,1.7390625 
20,10.2125,1.925 
30,14.30625,3.06796875 
40,18.459375,3.3828125 
50,21.32578125,4.228125 
60,14.32734375,3.23984375 
70,28.9390625,5.76328125 
80,47.66015625,8.8296875 
90,39.0234375,7.915625 
100,26.19453125,5.11640625 
110,10.08359375,1.81953125 
120,6.21640625,1.503125 
130,3.90625,0.6 
131,0,0 
