time,size_rcv,size_sent 
0,4.02890625,0.7125 
10,12.5234375,2.4515625 
20,22.7359375,4.3765625 
30,37.0421875,7.44453125 
40,55.5015625,10.82734375 
50,76.82734375,15.05546875 
60,91.1546875,18.2953125 
70,120.09375,24.05859375 
80,167.75390625,32.88828125 
90,206.77734375,40.80390625 
100,232.971875,45.9203125 
110,243.05546875,47.73984375 
120,249.271875,49.24296875 
130,253.178125,49.84296875 
131,253.178125,49.84296875 
