time,load@tsung_controller@90c4072c0a63 
0,0.6796875 
10,0.73046875 
20,0.609375 
30,0.51953125 
40,0.76171875 
50,0.640625 
60,0.5390625 
71,0.5390625 
80,0.4609375 
90,0.390625 
100,0.80859375 
110,0.6796875 
120,0.578125 
130,0.48828125 
