time,users,connected 
0,3,3 
10,7,8 
20,9,9 
30,10,10 
40,14,14 
50,10,10 
60,28,26 
71,38,38 
80,45,45 
90,30,31 
100,13,13 
110,7,7 
120,3,3 
130,0,0 
