time,tr_fluxo_compra,tr_fluxo_navegacao,page 
50,29769.393,25842.858,2222.557 
60,29769.393,25842.858,2666.316 
71,35774.161,25842.858,2666.316 
80,35774.161,38211.436,2666.316 
90,35774.161,38211.436,2734.754 
100,41151.024,38211.436,2734.754 
110,41151.024,38211.436,2734.754 
120,46012.23,38211.436,2734.754 
130,68482.768,38211.436,2734.754 
