time,freemem@tsung_controller@90c4072c0a63 
0,6814.5234375 
10,6824.2265625 
20,6824.2265625 
30,6824.2265625 
40,6824.2265625 
50,6824.2265625 
60,6824.2265625 
71,6824.2265625 
80,6824.2265625 
90,6824.2265625 
100,6824.2265625 
110,6824.2265625 
120,6824.2265625 
130,6824.2265625 
