time,freemem@tsung_controller@90c4072c0a63 
0,6814.5234375 
10,6824.2265625 
20,6819.984375 
30,6813.12109375 
40,6807.51953125 
50,6808.3125 
60,6810.03515625 
71,6807.2734375 
80,6802.19921875 
90,6797.76953125 
100,6785.33203125 
110,6780.41015625 
120,6777.6484375 
130,6778.265625 
