time,session 
10,16475.855 
20,16475.855 
30,25847.241 
40,25847.241 
50,29771.358 
60,29771.358 
71,35775.729 
80,38213.021 
90,38213.021 
100,41153.278 
110,41153.278 
120,46014.144 
130,68484.65 
