time,cpu@tsung_controller@90c4072c0a63 
0,5.401838480915703 
10,13.945322297466767 
20,3.5200605601816806 
30,3.5142965108955786 
40,5.736981465136805 
50,4.002013591744274 
60,3.5997482693517933 
71,3.774299419338551 
80,5.458459979736576 
90,5.2105729100796765 
100,8.530805687203792 
110,4.461013522052319 
120,4.723415003788835 
130,2.9803822937625757 
