time,size_sent,size_rcv 
0,0.46484375,2.74453125 
10,1.07734375,5.97578125 
20,2.0703125,12.04296875 
30,2.60625,15.2390625 
40,3.840625,19.72109375 
50,3.525,17.0265625 
60,4.56640625,23.18203125 
71,7.7515625,40.3953125 
80,9.86484375,51.065625 
90,8.171875,43.93984375 
100,4.81796875,24.484375 
110,2.075,10.6171875 
120,1.70234375,7.9421875 
130,0.63828125,3.3484375 
