time,users,connected 
0,3,3 
10,8,5 
20,10,1 
30,10,1 
40,15,4 
50,15,-4 
60,28,16 
71,38,12 
80,45,7 
90,45,-14 
100,45,-18 
110,45,-6 
120,45,-4 
130,45,-3 
