time,request,connect 
0,366.37992754650793,309.0190218557212 
10,404.0744234029361,21.68835979967134 
20,393.6772511249251,15.83246589992291 
30,398.465920194373,23.055877878536737 
40,408.5760438423795,25.87805787674611 
50,517.0242548906006,10.402000000000001 
60,560.7610937303999,17.045517394538074 
71,511.77304540385916,21.748330006254296 
80,463.91981737882134,23.403134536651052 
90,581.654902416146,0 
100,472.01161914793977,0 
110,507.2381445731026,0 
120,518.8087303020856,0 
130,446.0168857735533,0 
