time,tr_fluxo_compra,tr_fluxo_navegacao,page 
50,29769.393,8367.645,133.948 
60,25803.208,8367.645,133.948 
71,25803.208,8367.645,133.948 
80,25803.208,8367.645,133.948 
90,25803.208,8367.645,133.948 
100,22182.286,8367.645,133.948 
110,22182.286,8367.645,133.948 
120,22182.286,8367.645,133.948 
130,22182.286,8367.645,133.948 
