time,load@tsung_controller@90c4072c0a63 
0,0.6796875 
10,0.73046875 
20,0.73046875 
30,0.73046875 
40,0.76171875 
50,0.76171875 
60,0.76171875 
71,0.76171875 
80,0.76171875 
90,0.76171875 
100,0.80859375 
110,0.80859375 
120,0.80859375 
130,0.80859375 
