time,session 
10,16475.855 
20,13555.27075 
30,15784.677714285715 
40,14328.0945 
50,21332.784000000003 
60,19262.17975 
71,22688.958285714285 
80,19970.635785714287 
90,19056.16506666666 
100,26733.49288235294 
110,31818.426333333333 
120,40777.292 
130,59511.579666666665 
