time,finish_users_count,users_count 
0,0,0.3 
10,0.1,0.5 
20,0.4,0.6 
30,0.7,0.8 
40,0.2,0.6 
50,0.6,0.2 
60,0.4,2.2 
71,0.7,1.7 
80,1.4,2.1 
90,1.5,0 
100,1.7,0 
110,0.6,0 
120,0.4,0 
130,0.3,0 
