time,session 
10,16475.855 
20,11935.973 
30,8369.218 
40,8369.218 
50,8369.218 
60,8369.218 
71,8369.218 
80,8369.218 
90,8369.218 
100,8369.218 
110,8369.218 
120,8369.218 
130,8369.218 
