time,request,connect 
0,0.8,0.3 
10,1.7,0.5 
20,3.2,0.6 
30,3.9,0.8 
40,4.4,0.6 
50,3.8,0.2 
60,5.7,2 
71,9.7,1.9 
80,12.2,2.1 
90,9.7,0 
100,5.2,0 
110,2.1,0 
120,1.5,0 
130,0.6,0 
